datetime,cnt,temp,atemp,hum,wind_speed,weather_code,is_holiday,is_weekend,season,yr,mnth
2015-01-04 00:00:00,182,0.23404255319148937,0.2727272727272727,0.93,0.0896,2,0,1,1,2015,1
2015-01-04 01:00:00,138,0.23404255319148937,0.2803030303030303,0.93,0.0746,1,0,1,1,2015,1
2015-01-04 02:00:00,134,0.22340425531914893,0.2803030303030303,0.965,0.0,1,0,1,1,2015,1
2015-01-04 03:00:00,72,0.2127659574468085,0.2727272727272727,1.0,0.0,1,0,1,1,2015,1
2015-01-04 04:00:00,47,0.2127659574468085,0.24242424242424243,0.93,0.097,1,0,1,1,2015,1
2015-01-04 05:00:00,46,0.2127659574468085,0.2727272727272727,0.93,0.0597,1,0,1,1,2015,1
2015-01-04 06:00:00,51,0.19148936170212766,0.22727272727272727,1.0,0.1045,2,0,1,1,2015,1
2015-01-04 07:00:00,75,0.19148936170212766,0.22727272727272727,1.0,0.1045,2,0,1,1,2015,1
2015-01-04 08:00:00,131,0.20212765957446807,0.22727272727272727,0.965,0.1194,2,0,1,1,2015,1
2015-01-04 09:00:00,301,0.2127659574468085,0.23484848484848486,1.0,0.1343,2,0,1,1,2015,1
2015-01-04 10:00:00,528,0.23404255319148937,0.23484848484848486,0.93,0.1791,2,0,1,1,2015,1
2015-01-04 11:00:00,727,0.2127659574468085,0.2196969696969697,1.0,0.1791,2,0,1,1,2015,1
2015-01-04 12:00:00,862,0.2127659574468085,0.2196969696969697,0.965,0.194,2,0,1,1,2015,1
2015-01-04 13:00:00,916,0.23404255319148937,0.23484848484848486,0.87,0.2239,2,0,1,1,2015,1
2015-01-04 14:00:00,1039,0.22340425531914893,0.24242424242424243,0.9,0.1194,2,0,1,1,2015,1
2015-01-04 15:00:00,869,0.2127659574468085,0.2196969696969697,0.93,0.1642,2,0,1,1,2015,1
2015-01-04 16:00:00,737,0.23404255319148937,0.24242424242424243,0.93,0.1791,2,0,1,1,2015,1
2015-01-04 17:00:00,594,0.23404255319148937,0.24242424242424243,0.93,0.1642,2,0,1,1,2015,1
2015-01-04 18:00:00,522,0.23404255319148937,0.26515151515151514,0.93,0.097,2,0,1,1,2015,1
2015-01-04 19:00:00,379,0.23404255319148937,0.25757575757575757,0.93,0.1045,2,0,1,1,2015,1
2015-01-04 20:00:00,328,0.23404255319148937,0.2878787878787879,0.93,0.0597,2,0,1,1,2015,1
2015-01-04 21:00:00,221,0.23404255319148937,0.2803030303030303,0.93,0.0746,2,0,1,1,2015,1
2015-01-04 22:00:00,178,0.23404255319148937,0.2727272727272727,0.93,0.0896,2,0,1,1,2015,1
2015-01-04 23:00:00,157,0.2553191489361702,0.29545454545454547,0.87,0.0746,2,0,1,1,2015,1
2015-01-05 00:00:00,83,0.2553191489361702,0.2878787878787879,0.93,0.0896,2,0,0,1,2015,1
2015-01-05 01:00:00,67,0.2553191489361702,0.29545454545454547,0.93,0.0746,2,0,0,1,2015,1
2015-01-05 02:00:00,32,0.2765957446808511,0.30303030303030304,0.87,0.0896,2,0,0,1,2015,1
2015-01-05 03:00:00,22,0.2978723404255319,0.3106060606060606,0.84,0.1119,2,0,0,1,2015,1
2015-01-05 04:00:00,38,0.30851063829787234,0.3181818181818182,0.84,0.1194,2,0,0,1,2015,1
2015-01-05 05:00:00,81,0.2978723404255319,0.32575757575757575,0.87,0.0746,2,0,0,1,2015,1
2015-01-05 06:00:00,444,0.3191489361702128,0.3409090909090909,0.81,0.0746,2,0,0,1,2015,1
2015-01-05 07:00:00,1597,0.3191489361702128,0.3333333333333333,0.81,0.097,2,0,0,1,2015,1
2015-01-05 08:00:00,3161,0.3404255319148936,0.3560606060606061,0.79,0.0746,2,0,0,1,2015,1
2015-01-05 09:00:00,1342,0.3404255319148936,0.3484848484848485,0.82,0.0896,2,0,0,1,2015,1
2015-01-05 10:00:00,568,0.3617021276595745,0.36363636363636365,0.845,0.097,2,0,0,1,2015,1
2015-01-05 11:00:00,584,0.3617021276595745,0.3560606060606061,0.905,0.1493,2,0,0,1,2015,1
2015-01-05 12:00:00,762,0.3829787234042553,0.36363636363636365,0.85,0.1642,2,0,0,1,2015,1
2015-01-05 13:00:00,873,0.3829787234042553,0.3712121212121212,0.82,0.1493,2,0,0,1,2015,1
2015-01-05 14:00:00,672,0.3829787234042553,0.3787878787878788,0.82,0.1343,2,0,0,1,2015,1
2015-01-05 15:00:00,807,0.3829787234042553,0.3712121212121212,0.79,0.1493,2,0,0,1,2015,1
2015-01-05 16:00:00,1192,0.3829787234042553,0.3712121212121212,0.735,0.194,2,0,0,1,2015,1
2015-01-05 17:00:00,2761,0.3723404255319149,0.3560606060606061,0.735,0.1791,2,0,0,1,2015,1
2015-01-05 18:00:00,2389,0.3723404255319149,0.3560606060606061,0.69,0.209,2,0,0,1,2015,1
2015-01-05 19:00:00,1274,0.3617021276595745,0.3409090909090909,0.71,0.209,2,0,0,1,2015,1
2015-01-05 20:00:00,696,0.3617021276595745,0.3484848484848485,0.71,0.209,2,0,0,1,2015,1
2015-01-05 21:00:00,411,0.3617021276595745,0.3484848484848485,0.71,0.1642,2,0,0,1,2015,1
2015-01-05 22:00:00,324,0.3617021276595745,0.3560606060606061,0.71,0.1493,2,0,0,1,2015,1
2015-01-05 23:00:00,192,0.35106382978723405,0.3560606060606061,0.735,0.1194,2,0,0,1,2015,1
2015-01-06 00:00:00,91,0.3404255319148936,0.3409090909090909,0.76,0.1194,2,0,0,1,2015,1
2015-01-06 01:00:00,73,0.3404255319148936,0.3409090909090909,0.76,0.1194,2,0,0,1,2015,1
2015-01-06 02:00:00,33,0.3404255319148936,0.3333333333333333,0.76,0.1642,2,0,0,1,2015,1
2015-01-06 03:00:00,19,0.3404255319148936,0.32575757575757575,0.76,0.209,2,0,0,1,2015,1
2015-01-06 04:00:00,40,0.35106382978723405,0.3409090909090909,0.735,0.1642,2,0,0,1,2015,1
2015-01-06 05:00:00,74,0.3404255319148936,0.32575757575757575,0.82,0.209,2,0,0,1,2015,1
2015-01-06 06:00:00,530,0.3404255319148936,0.3181818181818182,0.845,0.2239,2,0,0,1,2015,1
2015-01-06 07:00:00,1715,0.3617021276595745,0.3484848484848485,0.82,0.194,2,0,0,1,2015,1
2015-01-06 08:00:00,3534,0.3617021276595745,0.3484848484848485,0.82,0.1791,3,0,0,1,2015,1
2015-01-06 09:00:00,1573,0.3617021276595745,0.3409090909090909,0.87,0.2388,3,0,0,1,2015,1
2015-01-06 10:00:00,635,0.3829787234042553,0.3560606060606061,0.88,0.291,2,0,0,1,2015,1
2015-01-06 11:00:00,550,0.3829787234042553,0.36363636363636365,0.88,0.2687,2,0,0,1,2015,1
2015-01-06 12:00:00,395,0.40425531914893614,0.4090909090909091,0.85,0.2836,3,0,0,1,2015,1
2015-01-06 13:00:00,426,0.3723404255319149,0.3333333333333333,0.845,0.4104,2,0,0,1,2015,1
2015-01-06 14:00:00,579,0.3617021276595745,0.3333333333333333,0.71,0.3881,2,0,0,1,2015,1
2015-01-06 15:00:00,718,0.3404255319148936,0.3106060606060606,0.71,0.3433,2,0,0,1,2015,1
2015-01-06 16:00:00,1184,0.3404255319148936,0.3181818181818182,0.685,0.291,2,0,0,1,2015,1
2015-01-06 17:00:00,2662,0.32978723404255317,0.30303030303030304,0.71,0.3284,1,0,0,1,2015,1
2015-01-06 18:00:00,2610,0.3191489361702128,0.30303030303030304,0.71,0.2612,1,0,0,1,2015,1
2015-01-06 19:00:00,1402,0.2978723404255319,0.2878787878787879,0.76,0.2239,1,0,0,1,2015,1
2015-01-06 20:00:00,720,0.2872340425531915,0.2803030303030303,0.785,0.2239,1,0,0,1,2015,1
2015-01-06 21:00:00,494,0.2765957446808511,0.2727272727272727,0.81,0.2239,1,0,0,1,2015,1
2015-01-06 22:00:00,344,0.26595744680851063,0.26515151515151514,0.81,0.194,1,0,0,1,2015,1
2015-01-06 23:00:00,212,0.2553191489361702,0.25757575757575757,0.84,0.1791,1,0,0,1,2015,1
2015-01-07 00:00:00,102,0.2553191489361702,0.25757575757575757,0.81,0.1791,1,0,0,1,2015,1
2015-01-07 01:00:00,60,0.2553191489361702,0.25757575757575757,0.81,0.1642,1,0,0,1,2015,1
2015-01-07 02:00:00,33,0.2553191489361702,0.26515151515151514,0.81,0.1493,1,0,0,1,2015,1
2015-01-07 03:00:00,26,0.24468085106382978,0.25757575757575757,0.84,0.1343,2,0,0,1,2015,1
2015-01-07 04:00:00,33,0.2553191489361702,0.26515151515151514,0.81,0.1493,2,0,0,1,2015,1
2015-01-07 05:00:00,80,0.2553191489361702,0.2727272727272727,0.87,0.1343,1,0,0,1,2015,1
